フシギダネ	Fushigidane
フシギソウ	Fushigisou
フシギバナ	Fushigibana
ヒトカゲ	Hitokage
リザード	Lizardo
リザードン	Lizardon
ゼニガメ	Zenigame
カメール	Kameil
カメックス	Kamex
キャタピー	Caterpie
トランセル	Transel
バタフリー	Butterfree
ビードル	Beedle
コクーン	Cocoon
スピアー	Spear
ポッポ	Poppo
ピジョン	Pigeon
ピジョット	Pigeot
コラッタ	Koratta
ラッタ	Ratta
オニスズメ	Onisuzume
オニドリル	Onidrill
アーボ	Arbo
アーボック	Arbok
ピカチュウ	Pikachu
ライチュウ	Raichu
サンド	Sand
サンドパン	Sandpan
ニドラン	Nidoran
ニドリーナ	Nidorina
ニドクイン	Nidoqueen
ニドラン	Nidoran
ニドリーノ	Nidorino
ニドキング	Nidoking
ピッピ	Pippi
ピクシー	Pixy
ロコン	Rokon
キュウコン	Kyukon
プリン	Purin
プクリン	Pukurin
ズバット	Zubat
ゴルバット	Golbat
ナゾノクサ	Nazonokusa
クサイハナ	Kusaihana
ラフレシア	Ruffresia
パラス	Paras
パラセクト	Parasect
コンパン	Kongpang
モルフォン	Morphon
ディグダ	Digda
ダグトリオ	Dugtrio
ニャース	Nyarth
ペルシアン	Persian
コダック	Koduck
ゴルダック	Golduck
マンキー	Mankey
オコリザル	Okorizaru
ガーディ	Gardie
ウインディ	Windie
ニョロモ	Nyoromo
ニョロゾ	Nyorozo
ニョロボン	Nyorobon
ケーシィ	Casey
ユンゲラー	Yungerer
フーディン	Foodin
ワンリキー	Wanriky
ゴーリキー	Goriky
カイリキー	Kairiky
マダツボミ	Madatsubomi
ウツドン	Utsudon
ウツボット	Utsubot
メノクラゲ	Menokurage
ドククラゲ	Dokukurage
イシツブテ	Isitsubute
ゴローン	Golone
ゴローニャ	Golonya
ポニータ	Ponyta
ギャロップ	Gallop
ヤドン	Yadon
ヤドラン	Yadoran
コイル	Coil
レアコイル	Rarecoil
カモネギ	Kamonegi
ドードー	Dodo
ドードリオ	Dodorio
パウワウ	Pawou
ジュゴン	Jugon
ベトベター	Betbeter
ベトベトン	Betbeton
シェルダー	Shellder
パルシェン	Parshen
ゴース	Ghos
ゴースト	Ghost
ゲンガー	Gangar
イワーク	Iwark
スリープ	Sleepe
スリーパー	Sleeper
クラブ	Crab
キングラー	Kingler
ビリリダマ	Biriridama
マルマイン	Marumine
タマタマ	Tamatama
ナッシー	Nassy
カラカラ	Karakara
ガラガラ	Garagara
サワムラー	Sawamular
エビワラー	Ebiwalar
ベロリンガ	Beroringa
ドガース	Dogars
マタドガス	Matadogas
サイホーン	Sihorn
サイドン	Sidon
ラッキー	Lucky
モンジャラ	Monjara
ガルーラ	Garura
タッツー	Tattu
シードラ	Seadra
トサキント	Tosakinto
アズマオウ	Azumao
ヒトデマン	Hitodeman
スターミー	Starmie
バリヤード	Barrierd
ストライク	Strike
ルージュラ	Rougela
エレブー	Eleboo
ブーバー	Boober
カイロス	Kailios
ケンタロス	Kentauros
コイキング	Koiking
ギャラドス	Gyarados
ラプラス	Laplace
メタモン	Metamon
イーブイ	Eievui
シャワーズ	Showers
サンダース	Thunders
ブースター	Booster
ポリゴン	Porygon
オムナイト	Omnite
オムスター	Omstar
カブト	Kabuto
カブトプス	Kabutops
プテラ	Ptera
カビゴン	Kabigon
フリーザー	Freezer
サンダー	Thunder
ファイヤー	Fire
ミニリュウ	Miniryu
ハクリュー	Hakuryu
カイリュー	Kairyu
ミュウツー	Mewtwo
ミュウ	Mew
チコリータ	Chikorita
ベイリーフ	Bayleaf
メガニウム	Meganium
ヒノアラシ	Hinoarashi
マグマラシ	Magmarashi
バクフーン	Bakphoon
ワニノコ	Waninoko
アリゲイツ	Alligates
オーダイル	Ordile
オタチ	Otachi
オオタチ	Ootachi
ホーホー	Hoho
ヨルノズク	Yorunozuku
レディバ	Rediba
レディアン	Redian
イトマル	Itomaru
アリアドス	Ariados
クロバット	Crobat
チョンチー	Chonchie
ランターン	Lantern
ピチュー	Pichu
ピィ	Py
ププリン	Pupurin
トゲピー	Togepy
トゲチック	Togechick
ネイティ	Naty
ネイティオ	Natio
メリープ	Merriep
モココ	Mokoko
デンリュウ	Denryu
キレイハナ	Kireihana
マリル	Maril
マリルリ	Marilli
ウソッキー	Usokkie
ニョロトノ	Nyorotono
ハネッコ	Hanecco
ポポッコ	Popocco
ワタッコ	Watacco
エイパム	Eipam
ヒマナッツ	Himanuts
キマワリ	Kimawari
ヤンヤンマ	Yanyanma
ウパー	Upah
ヌオー	Nuoh
エーフィ	Eifie
ブラッキー	Bracky
ヤミカラス	Yamikarasu
ヤドキング	Yadoking
ムウマ	Muma
アンノーン	Unknown
ソーナンス	Sonans
キリンリキ	Kirinriki
クヌギダマ	Kunugidama
フォレトス	Foretos
ノコッチ	Nokocchi
グライガー	Gliger
