レッド	reddo
ゴールド	gōrudo
クリス	kurisu
ユウキ	yūki
ハルカ	haruka
リーフ	rīfu
コウキ	kōki
ヒカリ	hikari
ヒビキ	hibiki
コトネ	kotone
トウヤ	tōya
トウコ	tōko
キョウヘイ	kyōhei
メイ	mei
カルム	karumu
セレナ	se rena
ヨウ	yō
ミヅキ	mizuki
カケル	kakeru
アユミ	ayu mi
マサル	masaru
ユウリ	yūri
ハルト	haruto
アオイ	aoi
グリーン	gurīn
シルバー	shirubā
ミツル	mitsuru
ジュン	jun
チェレン	cheren
ベル	beru
ヒュウ	hyū
サナ	sana
ティエルノ	tieruno
トロバ	toroba
ハウ	hau
グラジオ	gurajio
シン	shin
ブルー	burū
ホップ	hoppu
ビート	bīto
マリィ	marī
クララ	kurara
セイボリー	seiborī
ネモ	nemo
ヒカル	hikaru
ミナキ	minaki
モミ	momi
ゲン	gen
バク	baku
ミル	miru
マイ	mai
バンジロウ	banjirō
ジーナ	jīna
デクシオ	dekushio
AZ	AZ
ヒガナ	higana
リーリエ	rī rie
リュウキ	ryūki
ソッド	soddo
シルディ	shirudi
マスタード	masutādo
ミツバ	mitsuba
ピオニー	pionī
シャクヤ	shakuya
ペパー	pe pā
ボタン	botan
ゼイユ	zeiyu
スグリ	suguri
タロ	taro
アカマツ	akamatsu
ネリネ	nerine
カキツバタ	kakitsubata
サザレ	sazare
オーキド博士	ōkido hakase
ウツギ博士	utsugi hakase
オダマキ博士	odamaki hakase
ナナカマド博士	nanakamado hakase
アララギ博士	araragi hakase
プラターヌ博士	puratānu hakase
ククイ博士	kukui hakase
マグノリア博士	magunoria hakase
オーリム博士	ō rimu hakase
フトゥー博士	futū hakase
フジろうじん	fuji rō jin
ソライシ	soraishi
フトマキ	futomaki
マコモ	makomo
アララギパパ	araragi papa
バーネット博士	bā netto hakase
ナリヤ・オーキド	nariya ōkido
ソニア	sonia
ウカッツ	ukattsu
シンクロミ	shinkuro mi
タケシ	takeshi
カスミ	kasumi
マチス	machisu
エリカ	erika
キョウ	kyō
アンズ	anzu
カツラ	katsura
ナツメ	natsume
サカキ	sakaki
グリーン	gurīn
ハヤト	hayato
ツクシ	tsukushi
アカネ	akane
マツバ	matsuba
シジマ	shijima
ミカン	mikan
ヤナギ	yanagi
イブキ	ibuki
ツツジ	tsutsuji
トウキ	tōki
テッセン	tessen
アスナ	asuna
センリ	senri
ナギ	nagi
フウとラン	fū to ran
ミクリ	mi kuri
アダン	adan
ヒョウタ	hyōta
ナタネ	natane
スモモ	sumomo
マキシ	makishi
メリッサ	merissa
トウガン	tōgan
スズナ	suzuna
デンジ	denji
デント	dento
ポッド	poddo
コーン	kōn
アロエ	aroe
アーティ	āti
カミツレ	kamitsure
ヤーコン	yākon
フウロ	fūro
ハチク	hachiku
シャガ	shaga
アイリス	airisu
チェレン	cheren
ホミカ	ho mika
シズイ	shizui
ビオラ	biora
ザクロ	zakuro
コルニ	koruni
フクジ	fukuji
シトロン	shitoron
マーシュ	māshu
ゴジカ	gojika
ウルップ	uruppu
ヤロー	yarō
ルリナ	rurina
カブ	kabu
サイトウ	sai tō
オニオン	onion
ポプラ	popura
マクワ	makuwa
メロン	meron
ネズ	nezu
キバナ	kibana
カエデ	kaede
コルサ	korusa
ナンジャモ	nanjamo
ハイダイ	haidai
アオキ	aoki
ライム	raimu
リップ	rippu
グルーシャ	gurūsha
ハラ	hara
ライチ	raichi
クチナシ	kuchinashi
ハプウ	hapū
イリマ	irima
スイレン	suiren
カキ	kaki
マオ	mao
マーマネ	māmane
アセロラ	aserora
マツリカ	matsu rika
カンナ	kanna
シバ	shiba
キクコ	kikuko
ワタル	wataru
グリーン	gurīn
キョウ	kyō
イツキ	itsuki
カリン	karin
シン	shin
カゲツ	kagetsu
フヨウ	fuyō
プリム	purimu
ゲンジ	genji
ダイゴ	daigo
ミクリ	mi kuri
リョウ	ryō
キクノ	kikuno
オーバ	ōba
ゴヨウ	goyō
シロナ	shirona
シキミ	shikimi
ギーマ	gīma
カトレア	katorea
レンブ	renbu
アデク	adeku
アイリス	airisu
パキラ	pakira
ズミ	zumi
ガンピ	ganpi
ドラセナ	dorasena
カルネ	karune
ハラ	hara
ライチ	raichi
アセロラ	aserora
カヒリ	kahiri
マーレイン	mārein
ダンデ	dan de
チリ	chiri
ポピー	popī
アオキ	aoki
ハッサク	hassaku
