マサラタウン	masarataun
トキワシティ	tokiwa shiti
ニビシティ	nibishiti
ハナダシティ	hanadashiti
クチバシティ	kuchibashiti
シオンタウン	shion taun
タマムシシティ	tamamushi shiti
セキチクシティ	sekichiku shiti
ヤマブキシティ	yamabuki shiti
グレンタウン	guren taun
ワカバタウン	wakabataun
ヨシノシティ	yoshino shiti
キキョウシティ	kikyō shiti
ヒワダタウン	hiwadataun
コガネシティ	kogane shiti
エンジュシティ	enju shiti
アサギシティ	asagishiti
タンバシティ	tanbashiti
チョウジタウン	chōji taun
フスベシティ	fusubeshiti
ミシロタウン	mishirotaun
コトキタウン	kotokitaun
トウカシティ	tōkashiti
カナズミシティ	kanazumishiti
ムロタウン	murotaun
カイナシティ	kainashiti
キンセツシティ	kinsetsushiti
シダケタウン	shidaketaun
ハジツゲタウン	haji tsuge taun
フエンタウン	fuentaun
ヒワマキシティ	hiwamakishiti
ミナモシティ	minamoshiti
トクサネシティ	tokusaneshiti
ルネシティ	runeshiti
キナギタウン	kinagitaun
サイユウシティ	saiyūshiti
1のしま	1 no shima
2のしま	2 no shima
3のしま	3 no shima
4のしま	4 no shima
5のしま	5 no shima
6のしま	6 no shima
7のしま	7 no shima
フタバタウン	futaba taun
マサゴタウン	masagotaun
コトブキシティ	kotobuki shiti
クロガネシティ	kuroganeshiti
ソノオタウン	sonōtaun
ハクタイシティ	hakutaishiti
ヨスガシティ	yosugashiti
ズイタウン	zui taun
トバリシティ	tobarishiti
ノモセシティ	nomoseshiti
カンナギタウン	kannagitaun
ミオシティ	mioshiti
キッサキシティ	kissakishiti
ナギサシティ	nagisashiti
ファイトエリア	faito eria
サバイバルエリア	sabaibaru eria
リゾートエリア	rizōto eria
コトブキムラ	kotobuki mura
コンゴウ集落	kongo u shūraku
シンジュ集落	shinju shūraku
カノコタウン	kanokotaun
カラクサタウン	karakusataun
サンヨウシティ	sanyōshiti
シッポウシティ	shippōshiti
ヒウンシティ	hiunshiti
ライモンシティ	raimonshiti
ホドモエシティ	hodomoeshiti
フキヨセシティ	fukiyoseshiti
セッカシティ	sekkashiti
ソウリュウシティ	sōryūshiti
カゴメタウン	kagome taun
サザナミタウン	sazanamitaun
ブラックシティ	burakku shiti
ホワイトフォレスト	howaitoforesuto
カナワタウン	kanawataun
ヒオウギシティ	hiōgi shiti
サンギタウン	sangi taun
タチワキシティ	tachiwakishiti
ヤマジタウン	yamajitaun
セイガイハシティ	seigaihashiti
アサメタウン	asametaun
メイスイタウン	meisuitaun
ハクダンシティ	hakudanshiti
ミアレシティ	miareshiti
コボクタウン	kobokutaun
コウジンタウン	kōjintaun
ショウヨウシティ	shōyōshiti
セキタイタウン	seki tai taun
シャラシティ	shara shiti
ヒヨクシティ	hiyokushiti
クノエシティ	kunoeshiti
フウジョタウン	fūjotaun
ヒャッコクシティ	hyakkokushiti
レンリタウン	renritaun
エイセツシティ	eisetsushiti
キナンシティ	kinanshiti
リリィタウン	rirītaun
ハウオリシティ	hauorishiti
カンタイシティ	kantaishiti
オハナタウン	ohanataun
ロイヤルアベニュー	roiyaru abenyū
コニコシティ	konikoshiti
マリエシティ	marieshiti
カプのむら	kapu no mura
ポータウン	pō taun
うみのたみのむら	umi no tami no mura
ハロンタウン	harontaun
ブラッシータウン	burasshītaun
エンジンシティ	enjin shiti
ターフタウン	tāfutaun
バウタウン	bautaun
ナックルシティ	nakkuru shiti
ラテラルタウン	raterarutaun
アラベスクタウン	arabesuku taun
キルクスタウン	kirukusutaun
スパイクタウン	supaiku taun
シュートシティ	shūto shiti
フリーズむら	furīzu mura
コサジタウン	kosajitaun
プラトタウン	puratotaun
テーブルシティ	tēburu shiti
セルクルタウン	serukurutaun
ボウルタウン	bōru taun
ハッコウシティ	hakkōshiti
カラフシティ	karafushiti
マリナードタウン	marinādotaun
ピケタウン	pike taun
チャンプルタウン	chanpurutaun
フリッジタウン	furijjitaun
ベイクタウン	beikutaun
スイリョクタウン	suiryokutaun
フェナスシティ	fenasushiti
パイラタウン	pairataun
アゲトビレッジ	agetobirejji
アンダー	andā
アイオポート	aiopōto
リングタウン	ringu taun
フォルシティ	forushiti
サマランド	sama rando
ウィンタウン	wintaun
ビエンタウン	bientaun
チコレむら	chikore mura
プエルタウン	puerutaun
ボイルランド	boiru rando
ブルブルキャンプ	buruburukyanpu
ハルバむら	haruba mura
ココナむら	kokona mura
ナナメむら	naname mura
アクアリゾート	akuarizōto
アオプルコ	aopuruko
ハトバポート	hatobapōto
乙女ヶ崎	otome ヶ saki
ヨヨヨタウン	yoyoyotaun
シザーストリート	shizāsutorīto
グンジョウシティ	gunjōshiti
サニータウン	sanī taun
マッチャシティ	macchashiti
ストンタウン	sutontaun
ダークシティ	dāku shiti
マツモタウン	matsumotaun
ネオンタウン	neon taun
オヒナタウン	ohinataun
ビンヌ	binnu
ホリウッド	horiuddo
ジルバタウン	jiruba taun
モダマタウン	modamataun
ユズリハ島	yuzuriha tō
コモダシティ	komodashiti
アベリアタウン	aberia taun
シキミタウン	shikimi taun
カジノキシティ	kajinoki shiti
サビシティ	sabi shiti
トネリコタウン	toneriko taun
ロータ	rōta
ラフォールタウン	rafōrutaun
コクモタウン	kokumotaun
アザラタウン	azarataun
メジカタウン	mejikataun
ハッピータウン	happī taun
ソーラータウン	sōrā taun
ブレンタウン	burentaun
オキノ島	okino tō
ブロウタウン	burōtaun
リキシータウン	rikishītaun
ホワイトタウン	howaito taun
ナットタウン	natto taun
ライズタウン	raizutaun
エビチャタウン	ebichataun
シロガネタウン	shiroganetaun
グリーンフィールド	gurīn fīrudo
ミレニアムタウン	mireniamu taun
ハテノ村	hateno mura
アルトマーレ	arutomāre
リンシンタウン	rinshintaun
ミラージュ王国	mirāju ōkoku
フタバタウン (ホウエン)	futaba taun ( hōen )
キタトウカシティ	kitatōkashiti
カテキンタウン	katekintaun
シワブキタウン	shiwabukitaun
ルイボスタウン	ruibosutaun
クロスゲートタウン	kurosugētotaun
バレータウン	barē taun
イザベ島	izabe tō
ラルース	rarūsu
タジキタウン	tajikitaun
アケビタウン	akebi taun
ウインドタウン	uindo taun
タツナミタウン	tatsunamitaun
コマコタウン	komakotaun
シンメタウン	shinmetaun
スイレンタウン	suiren taun
メキャベツタウン	mekyabetsu taun
ツバキタウン	tsubaki taun
アサツキタウン	asatsuki taun
トナリノタウン	tonarinotaun
カタクリタウン	katakuri taun
スズラン島	suzuran tō
アラモスタウン	aramosutaun
ミチーナ	michīna
クラウンシティ	kuraun shiti
カレントタウン	karento taun
ライモンタウン	raimontaun
トアルタウン	toarutaun
アスチルベタウン	asuchirubetaun
チカクノタウン	chikakunotaun
ヒガキシティ	higakishiti
竜の里	ryū no sato
アイントオーク	aintōoku
ローシャン	rō shan
ニュートークシティ	nyū tōku shiti
スミル村	sumiru mura
ラーグンタウン	rāguntaun
忍者村	ninja mura
フレイシティ	furei shiti
イカヅチタウン	ikazuchi taun
ジャコールタウン	jakōrutaun
グロリオシティ	gurorioshiti
オルセイルシティ	oruseirushiti
デセルシティ	deserushiti
アゾット王国	azotto ōkoku
メガ島	mega tō
マナーロ・アイランド	manāro airando
ジョウチャンタウン	jōchantaun
セントチェリータウン	sentocherītaun
フウラシティ	fūrashiti
セロアイランド	seroairando
ミリーファタウン	mirīfataun
トナリタウン	tonaritaun
ピグトンタウン	pigutontaun
テツロンタウン	tetsurontaun
ハツカタウン	hatsukataun
ライムシティ	raimu shiti































































































































































































































































