id,overview_fra,overview_eng,overview_deu,overview_jpn
316019,"Mewtwo, le plus fort des pokémon, est créé en laboratoire grâce à un fragment d'ADN de Mew: le pokémon le plus rare au monde. Mais le pauvre Mewtwo va se rendre compte qu'on attend de lui uniquement sa force, et non pas de l'affection, et il va donc détruire le laboratoire, mais Giovanni, le chef de la team rocket va le récuperer pour son compte personnel... mais là encore, Mewtwo va s'énerver et détruire le QG de la team rocket et s'enfuir. Par vengeance contre l'humanité, et aussi pour comprendre ses origines, il va inviter les meilleurs dresseurs de pokémon dans son 'manoir'.","Ash Ketchum and friends are tricked into visiting New Island, an island ruled by a mutant Pokémon, Mewtwo. There, they find out about Mewtwo's plans to clone their Pokémon and destroy the world, and a massive battle follows between the clones and the originals - including the ""original"" counterpart to Mewtwo: Mew.
","In einem geheimen Labor arbeiten Wissenschaftler am stärksten Pokémon, das es je gegeben hat. Doch das Experiment geht tierisch in die Hose, und die neue Kreatur macht es Frankensteins Monster gleich und übt furchtbare Rache an seinen Schöpfern.",科学者たちは遺伝的に新しいポケモン、ミュウツーを作成しますが、結果は恐ろしくて悲惨です。
362534,"Il y a bien longtemps, dans une petite ville du bord de mer appellée Alto Mare, vivait un vieux couple qui était seul, sans enfant...
Un jour ils trouvirent 2 enfants, un garçon et une fille.
Ce vieux couple aimait au plus profond leurs enfants, et n'auraient jamais souhaités les perdre.
Malheureusement, un sombre nuage s'installa sur Alto Mare, pour des raisons inconnues...
La mère de ces deux enfants se promennaient avec eux en ville, en direction de leur domicile, quand soudain un éclair maléfique frappa la mère, qui mourrut sur le coup...
Les deux enfants se mirent à pleurer leur mère, et comme la légende le dit (ça s'est vu dans Pokémon 1 ou le retour de Mewtwo), ""Les larmes venues du coeur ont des pouvoirs extraordinaires !""...
Juste après leur mort, un second éclair frappa les deux enfants, et furent eux aussi tués sur le coup...
Mais leur tristesse et leur larmes se mirent à former une sphère bleue, la ""Larme venue du coeur""...
Cette sphère aux pouvoirs magiques ressussita les deux enfants en Pokémon : Latias et Latios...","Ash, Misty, and Brock travel to the water city of AltoMare where Ash and Misty compete in the Water Chariot Race which Misty ends up winning. After the race Ash ends up saving a girl from Annie and Oakley, two members of Team Rocket who are in the city to try and capture the Legendary Pokémon, Latios and Latias, for Giovanni. Little does Ash know, but this girl is actually Latias in disguise. Ash follows her back to her secret hideout where he meets her brother Latios. Ash also learns that Latias takes the form of her best friend Bianca. Bianca and her grandfather tell Ash all about Latios and Latias and Ash plays with them. That night, Annie and Oakley invade the hideout and capture Latios and steal the Soul Dew in order to power the D.M.A. Now Latias must find Ash and the others and help to save AltoMare and her brother!","Ash, Pikachu und der Rest der Gang sehen ihre größte Herausforderung entgegen, als zwei hinterlistige Diebinnen den geheimnisvollsten und gefährlichsten aller Kristalle ""Herztropfen"" rauben wollen. Fällt er in ihre Hände, ist die Zerstörung der Wasserstadt Altomare unvermeidbar. Es beginnt ein atemberaubendes Rennen gegen die Zeit, bei dem die letzte Hoffnung auf Latios und Latias ruht, die als Hüter des Kristalls mit magischen Kräften ausgestattet sind.",旅を続けるサトシ達一行は、水の都と呼ばれる美しい町「アルトマーレ」にやって来ていた。サトシとカスミはこの時期に行われるアルトマーレの名物「水上レース」に参加する。レース後に街を観光をしていると、サトシは女の子が襲われているところに遭遇する。助けている途中ではぐれてしまうが、博物館で再び姿を見かけ追いかける。不思議な壁を通り抜けた先の庭園で、その女の子は伝説のポケモン、ラティアスが変身していたと判明する。ラティアスが姿を借りていた少女カノンと、その祖父ボンゴレに、この町に伝わる御伽話を聞かされると、サトシはこの町に忍び寄る不穏を感じ取る。その裏では怪盗姉妹のザンナーとリオンが悪事を企てているのだった。
315865,"Dans la région d'Orudan, alors que Ho-oh survole la vallée, une grande bataille se prépare. Lucario, qui sautant de rocher en rocher, a pu apercevoir deux armées de Pokémon, une rouge et une verte, se faisant face et chargeant l'une et l'autre, pose sa main sur un cristal et prévient son maître Aaron de l'imminence du combat.
Celui-ci saute sur un Roucarnage, et prend la direction de la vallée. Lorsqu'il atteind l'endroit ou Lucario l'attend, il informe le Pokémon légendaire que lui, Aaron, doit se rendre auprès de l'Arbre du Commencement du Monde, pour sauver la planète des ravages de la guerre. En Pokémon loyal, Lucario demande à l'accompagner, mais Aaron brandit son sceptre, et Lucario se transformant en une vague d'énergie, se fait aspirer dans le cristal du sceptre, et regarde s'éloigner son maître, alors que les deux armées entament la bataille au coeur de la vallée...","500 years ago, Sir Aaron was marked as a hero for saving the kingdom of Auray when two opposing armies nearly destoyed it in a war. Now, a festival is held every year in honor of Sir Aaron's deed. After winning a tournament competition, Ash is selected to be this year's Aura Guardian. When a mysterious woman by the name of Kid tracks down Mew, Mew disappears and takes an injured Pikachu and Meowth to the Tree of Beginnings. At the same time, Lucario is set free from the staff Ash holds, mistaking Ash for Aaron. Lucario reveals that Aaron was no hero and abandoned the queen, along with trapping him in the staff. Now, Ash must rely on Lucario's help if he's to make it to the Tree of Beginnings and find Pikachu. Kid tags along too, only wanting to learn Mew's connection to the tree. However, their adventure will cause more damage than intended, and the truth of the events of 500 years ago will finally be revealed!
","Im Cameran Palast wird ein großes Fest zu Ehren des legendären Ritters Sir Aaron gefeiert. Der Höhepunkt ist ein Pokémon Wettbewerb, dessen Sieger den Titel des „Hüter der Aura“ erringen kann. Ash und Pikachu treten an und gewinnen den Kampf. Bei der Siegesfeier bekommt Ash den „Stab des Aaron“ überreicht. Plötzlich hört er aus dem Stab die Stimme des darin eingeschlossenen Lucario. Lucario war das Pokémon von Sir Aaron, der vor langer Zeit auf geheimnisvolle Weise den Palast gerettet und danach Lucario in den Stab gebannt hatte. Während der Feier werden plötzlich Mauzi und Pikachu von Mew entführt, einem Pokémon, das in einer sagenumwobenen Felsformation lebt, die man den „Baum des Anfanges“ nennt.","数百年前、オルドラン城は戦争に巻き込まれる危機に瀕する。城と運命を共にすると誓う女王の元から、その城に仕える波導使いアーロンは弟子のルカリオの元へと立ち去るが、戦いが始まろうとしたまさにその時、世界のはじまりの樹に光が灯り、戦いは防がれるのだった。

現代に至り、アーロンは城を守った波導の勇者の伝説として語り継がれ、オルドラン城ではその年の勇者を決めるためのポケモンバトルの大会が催されていた。その大会へ参加したサトシは見事優勝し、優勝者にのみ握ることの許された「アーロンの杖」を手にする。すると突然杖に光が灯りアーロンの弟子であったはずのルカリオが飛び出してきたのだった。"
1396411,"Sacha, Ondine et Jacky décident de faire une sieste en pleine nature avec leurs Pokémon. Le petit Togepi s'éloigne du groupe avant de disparaître. Pikachu et ses amis Pokémon se lancent alors à sa recherche sans savoir ce qui les attend !","Ash, Misty, and Tracey deciding bringout all of their Pokémon, and the go off somewhere. While sleeping, Togepi falls down a steep hill and disappears into a hole. Pikachu, Bulbasaur, Squirtle, Marill, Venonat and Psyduck follow Togepi. They end up in a giant tree where Pikachu appears to have lived in before.","Während die meisten der kleineren Pokémon ein Nickerchen machen, wacht Togepi plötzlich auf. Nachdem es eine Gruppe fliegender Pokémon gesehen hat, findet es sich getrennt vom Rest der seiner Freunde. Pikachu, Bisasam, Schiggy, Bluzuk, Marill und Enton machen sich auf die Suche nach Togepi. Dort treffen sie auf Elekid, der sie zu einer Gruppe von Owei führt. Jedoch einem von ihnen ein Ei und glaubt, dass Togepi ihr fehlender Teil ist. So muss die Bande reisen, um das fehlende Ei zu finden, und einen Sturm ertragen, der Togepi und die Owei wegwehen könnte.",Togepi leads Pikachu and friends on a wild adventure.
4971574,"Dans le Royaume des Diamants souterrain, où de nombreux Strassie vivent, le Pokémon fabuleux Diancie en est le chef. Le Cœur de Diamant qui assure la pérennité du royaume s'éteint peu à peu et Diancie n'est pas encore suffisamment forte pour en créer un nouveau. Alors qu'elle recherche l'aide du Pokémon légendaire Xerneas, Diancie rencontre un groupe de voleurs voulant s'approprier sa capacité à créer des diamants et qui, par la même occasion, réveillent le Pokémon légendaire Yveltal et le tirent de son cocon ! Sacha et ses amis vont-ils parvenir à aider Diancie à découvrir son vrai pouvoir, arrêter la rage destructive d'Yveltal et sauver le Royaume des Diamants ?","When the Mythical Pokémon Diancie cannot figure out how to make a new Heart Diamond to save her kingdom of Carbink subjects, she seeks out the Legendary Life Pokémon Xerneas for help, meeting Ash, Serena, Clemont, and Bonnie on the way, as they help her escape a group of jewel thieves and the unintentional awakening of the Legendary Destruction Pokémon Yveltal.","Das Diamantenreich ist in Gefahr! Denn das Leben des Herz-Diamanten, das das Reich mit Energie versorgt, steht kurz vor seinem Ende. Nun ist es an dem Pokémon Diancie, den legendären Xerneas zu finden, mit dessen Hilfe er einen neuen Herz-Diamanten erschaffen will.",ダイアモンドドメインと呼ばれる地下王国の唯一のエネルギー源であるハートダイアモンドは故障しており、交換する必要があります。 新しいハートダイヤモンドを作って王国を救うことができるのは、王国の王女であるポケモンディアンシーだけですが、彼女にはまだそれを作る力がありません。 ディアンシーは、命を与える伝説のポケモンゼルネアスに会うために旅に出ます。これにより、ディアンシーはハートダイヤモンドを作成する力を発見することができます。 ゼルネアスを何ヶ月も探した後、ディアンシーは見つけた街を探索しに行きます。 彼女はポケモントレーナーのアッシュケッチャムと彼の友人、ピカチュウ、セレナ、クレモント、ボニーに会います。 アッシュと彼の友人たちは、ゼルネアスに会うために彼女の探求にディアンシーに加わります。
2323051,Cet épisode résumé les aventures de Sacha depuis le début de l'aventure Diamant et Perle,"A clip show summarizing the important events of the first 47 Diamond and Pearl episodes, including Ash's victories over Roark and Gardenia and the introductions of new rivals Paul and Zoey.",Diese Folge ist ein Rückblick der 10. Staffel und wurde nur in Japan ausgestrahlt.,これまでの冒険を振り返るダイジェスト版となっている。
9354618,"Koko grandit dans la jungle avec un Zarude solitaire. En rencontrant Sacha et Pikachu, il découvre le monde des humains et apprend que son environnement est menacé.","This is a story of a slighly unusual parent-child relationship involving one Pokémon and one human. In the depths of a jungle in the middle of nowhere, we find Okoya Forest, a Pokémon paradise operating with strict laws. The stubborn and obstinate Zarude lived there with his kin, but one day he discovered a human baby by the riverside.","Koko wächst im Dschungel mit einem Zarude auf. Als er Ash und Pikachu kennenlernt, erfährt er von der Menschenwelt – und einem Vorhaben, das seine Heimat bedroht.",人里離れたジャングルの奥地に、厳しい掟で守られたポケモンたちの楽園・オコヤの森があった。そこへ偶然やって来たサトシとピカチュウの前に、幻のポケモン、ザルードによってポケモンとして育てられた少年ココが現れる。自分のことをポケモンだと信じて疑わないココにとって、初めての「ニンゲンの友達」となるサトシ。そんな中、突如としてオコヤの森に危機が迫り……。
9509790,"Sacha et Pikachu font ce qu’ils aiment : voyager dans différents endroits. Mais quand la mère de Sacha lui demande la retrouver dans un Centre Pokémon voisin, il part tout de suite : son père sera là aussi ! En chemin, Sacha se lie d’amitié avec un garçon nommé Sunny, qui finit par le conduire dans un endroit où les Baies abondent, près d’une maison. Là, Sacha rencontre un homme et une femme qui lui révèlent que Sunny est leur fils décédé il y a un an. Sacha leur donne la casquette de Sunny, puis aide Sunny à caresser Pikachu avant qu’ils ne se séparent. Au Centre Pokémon, le père de Sacha est déjà parti, mais il a laissé un cadeau à Sacha : une nouvelle casquette !","Ash travels a mountain pass to a nearby town to meet up with his dad. Along the way, he runs into a mysterious young boy with a keen interest in Pokémon.","Ash und Pikachu tun das, was sie lieben und reisen an verschiedene Orte. Aber als Ashs Mutter ihn bittet, sie in einem nahe gelegenen Pokémon Center zu treffen, macht er sich sofort auf den Weg, denn sein Vater wird auch dort sein! Unterwegs freundet sich Ash mit Sonny an, der ihn zu einem Wald voller Sinelbeeren in der Nähe eines Hauses führt. Dort trifft Ash auf einen Mann und eine Frau, die ihm erzählen, dass Sonny ihr Sohn ist, der vor einem Jahr gestorben ist. Ash gibt ihnen Sonnys Kappe zurück und hilft Sonny dann, Pikachu zu streicheln, bevor sich ihre Wege trennen. Im Pokémon Center erfährt Ash, dass sein Vater bereits abgereist ist. Aber er hat ein Geschenk für Ash zurückgelassen, eine brandneue Kappe!",ポケモンマスターを目指し、旅を続けるサトシとピカチュウ。母ハナコとトナリタウンで会う約束をするが、その道中でロケット団にピカチュウを攫われてしまう。ピカチュウを探すサトシは、不思議な少年・ハルトと出会う―。これは、サトシとピカチュウの冒険の日々の、とある１つの出会いを描いた物語。
208594,"Pikachu ne se sent pas bien. Sacha va chez le professeur Seko. Il l'aide à remettre Pikachu sur pied. La team Rocket vient et Sacha l'affronte. Une jeune fille de 10 ans, Flora, a vu cela. Elle va avoir son premier Pokémon, elle décide de prendre un Poussifeu. Elle décide d'accompagner Sacha.","In the land of Hoenn, a girl named May travels to Prof. Birch's lab. She is attacked by a wild ghost pokemon called Duskull. Scared, but unharmed, she travels on her bike to the lab in Littleroot Town.Ash also travels to Littleroot town and signs up for the Hoenn League. Ash arrives in town to discover that Littleroot doesn't have a pokemon center! Ash rushes to the Profesor's lab and talks to one of the assistants. The assistant alerts Prof. Birch and the he assists him.Meanwhile, May arrives at the lab to find that the Prof. isn't there. The assistants tell her that he drove into the woods and she rides after them.In the woods, the prof. tumbles down a cliff and lands on a Pochyena. He is suddenly surrounded by a group of the pokemon and he looks like he is in trouble. Suddenly, May arrives and the prof. tells her to take one of the pokemon out of his bag and use it to battle the Pochyena. She ends up throwing Mudkip. Birch tells Mudkip to do a water gun attack.As May and Prof.Birch find Ash. As the group is about to leave, Team Rocket arrive on the scene in a giant robot. They reintroduce themselves to Ash and let May and the prof. know who they are. Jessie still doesn't care about this mission and James and Meowth do the dirty work as they launch an arm that begins draining Pikachu's energy. However, it accidentely HEALS Pikachu and he uses a super-powered Thunderbolt.Back at the lab, May picks the fire pokemon, Torchic. Prof. Birch gives her a pokedex and she qiuetly says how she really doesn't like Pokemon. May's damaged bike due to Pikachu's thunderbolt makes her angry but she decides to ask Ash if she can go with him on his journey. He says OK and they head over to Oladale town as Ash's journey in Hoenn begins.
","Pikachu wird sehr krank. Da es in Wurzelheim kein Pokémon Center gibt, bittet Ash Professor Birk um seine Hilfe. Pikachu hat zuviel Energie in sich und schwebt in Lebensgefahr. Team Rocket schnappt sich Pikachu. Um sich zu schützen, hat Team Rocket eine Maschine entwickelt, die Pikachu entladen soll. Zum Glück ist das in dem Moment genau die richtige Behandlung für Pikachu. Team Rockets Maschine explodiert, und Pikachu kann gerettet werden. Währenddessen ist Maike bei Professor Birk angekommen. Sie will sich ihr erstes Pokémon abholen, obwohl sie sich eigentlich gar nicht so für Pokémon interessiert. Sie entscheidet sich für ein Flemmli. Maike kann Ash überreden, seine Reise nach Rosaltstadt mit ihr fortzusetzen.","　ポケモンマスターをめざし、まだ見ぬ地、ホウエン地方へ旅立ったサトシとピカチュウ。だが、ピカチュウが高熱を出してしまい、サトシはホウエン地方で有名なポケモン博士、オダマキのもとへ向かう。だがその治療中、われをうしなったピカチュウは外へ逃げ出してしまった。サトシとオダマキ博士もすぐにその後を追う。
　一方、ホウエン地方に住むハルカも、ポケモントレーナーとして旅立つため、ポケモンをもらいにオダマキ博士のもとへやって来ていた。だが、研究所に博士がいないと知り、すぐさま博士の後を追いかけていく。
　はたして逃げ出したピカチュウはぶじなのか?!　そして新たな土地でのいきなりのピンチを、サトシはどう切りぬけるのか!?"
208596,"Flora essaye de capturer un Azumarill mais sans succès. Mais la Team Magma les attaque. Nos amis vont dans le conduit. Sacha essaye de trouver une sortie mais n'en trouve pas c'est Pikachu qui la trouve! Grâce à un chercheur pokemon, nos amis reprennent leur route pour Clémenti-ville ou Sacha veut gagner son premier badge à Hoenn.","Ash is ready to head to Oldale Town to sign up for the Hoenn League. May has offered to show Ash the way in exchange for his company to Oldale Town - which is only fair, seeing as Pikachu destroyed May's bike when it was sick!  In Oldale Town, May visits her first Pokémon Center and is amazed with all of its services, and by the ancient ruins next door.  Things quickly turn sour when Team Magma, a mysterious band of criminals, shut down the electricity at the Pokémon Center and kidnap Professor Alden in order to invade the ruins.  With no electricity, all of the Pokémon are in danger - including May's Torchic.  It's up to Ash and May to save the day - and in doing so they uncover mysterious ancient Pokémon.
","Mary versucht, ihr erstes Pokémon zu fangen und versagt kläglich. Ash und Mary lernen Professor Aldon kennen. Er erforscht die Ruinen von Rosatstadt. In dem dortigen Steinzimmer soll es ein Tor zur alten Pokémonwelt geben. Auf einer alten Steintafel steht, wie man das alte Steinzimmer betreten kann. Dazu braucht man vier Perlen, die als Schlüssel fungieren. Aber die hat Professor Aldon noch nicht finden können. Plötzlich wird der Professor von einer Bande zwielichtiger Figuren entführt. Auch sie wollen unbedingt in dieses Steinzimmer. Und sie sind im Besitz dieser vier Perlen. Doch die Gauner finden in dem Zimmer nicht die Informationen, nach denen sie gesucht haben, und ziehen wieder ab. Professor Aldon ist begeistert von den Wandmalereien. Zusammen mit Ash und May entdeckt er einen unterirdischen See, in dem ein altes Pokémon, ein Relicanth, schwimmt. Ash und May machen sich auf den Weg nach Blütenburg City. Ash hat sich für die Hoenn Liga registrieren lassen und möchte gegen den dortigen Arenaleiter antreten.","　ホウエン地方での新たな冒険の旅をはじめたサトシとピカチュウ。
　ひょんなことからいっしょに行動することになった新人ポケモントレーナーのハルカと、ホウエンリーグへの参加登録のため、ポケモンセンターのあるコトキタウンをめざしていた。しかし、まだポケモンのあつかいになれないハルカとの道中はドタバタの連続。それでも、なんとかポケモンセンターにたどり着いた一行は、このセンター内でコトキ遺跡を調査しているというウメヅ博士から、古代ポケモンの謎について話を聞くことになる。博士は、その謎を最近といたという。
　その夜、ウメヅ博士とサトシたちは、突然あらわれた複数の男たちにさらわれてしまう。謎の男たちの目的は一体なんなのか!?　そしてコトキ遺跡には何がかくされているのか!?"
