id,overview_eng,labels
316019,"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.","[('Scientists', 'ORGANIZATION'), ('Pokémon', 'ORG'), ('Mewtwo', 'POKEMON')]"
316020,"Ash Ketchum must gather the three spheres of fire, ice and lightning in order to restore balance to the Orange Islands.","[('Ash', 'CHARACTER'), ('Ketchum', 'CHARACTER'), ('three', 'CARDINAL'), ('the Orange Islands', 'LOC')]"
208475,"In the town of Greenfield, a young, lonely girl's dreams and wishes are brought into reality by a collective of reality-warping Pokémon.","[('Greenfield', 'GPE'), ('Pokémon', 'ORG')]"
316023,"Mewtwo, his heart having been softened by the selfless example of the human named Ash Ketchum back in his birthland in the eastern Kanto region, has now traveled to the western region of Johto in search of a location that is unreachable by the prying eyes and harsh judgments of humans for the sake of his band of cloned Pokémon, with whose welfare Mewtwo is solely concerned. He eventually finds the perfect hideaway: a huge mountain named Mt. Quena, surrounded by steep cliffs that are practically impossible to scale, but in its top is a forest and a freshwater lake that makes for a near-utopia for all the Bug Pokémon living there. This is a perfect fit for Mewtwo's band, so thus they settle in the top of Mt. Quena and begin a new, safe life, with Mewtwo watching over as their guardian, as he feels they cannot belong in the world as they were not born in it (he seems particularly close to the Pikachu and Meowth clones, possibly reflecting how important their templates were in his change of heart).","[('Ash', 'CHARACTER'), ('Ketchum', 'CHARACTER'), ('Kanto', 'GPE'), ('Johto', 'GPE'), ('Pokémon', 'ORG'), ('Bug Pokémon', 'PERSON'), ('Mt. Quena', 'ORG'), ('Mewtwo', 'POKEMON'), ('Pikachu', 'POKEMON'), ('Meowth', 'POKEMON')]"
394456,"There are always those who seek to contain and capture rare Pokémon—and there are those who would protect these special Pokémon from evil forces. Forty years ago that very thing occurred when Celebi found itself fleeing a vicious hunter, and a young Trainer named Sammy rushed to the rescue. They vanished—becoming yet another strange legend that the townspeople tell.","[('Pokémon', 'ORG'), ('Forty years ago', 'DATE'), ('Celebi', 'POKEMON'), ('Trainer', 'ORG'), ('Sammy', 'PERSON')]"
362534,"The film is set in the Venice-esque city of Alto Mare, protected by the dragon siblings Latias and Latios. Their father, also a Latios, is said to have saved the city from an evil Pokémon Trainer and their Kabutops and List of generation I Pokémon#Aerodactyl whilst transforming the city's streets into canals. The citizens built the Defence Mechanism of Alto Mare (or “D.M.A.” for short) to protect the city if necessary, but have never had to use it. The father Latios died, leaving behind the Soul Dew, said to contain his own soul and can power the D.M.A.","[('Venice', 'GPE'), ('Alto Mare', 'ORG'), ('Latias', 'POKEMON'), ('Pokémon Trainer', 'PERSON'), ('Kabutops', 'POKEMON'), ('the Defence Mechanism of Alto Mare', 'WORK_OF_ART'), ('D.M.A.', 'ORG'), ('Latios', 'POKEMON'), ('the Soul Dew', 'WORK_OF_ART')]"
362535,"The Millennium Comet is about to make its long-awaited appearance in the sky again, supposedly granting the wishes of all those who see it in the skies above them. Of course, Ash and friends are equally interested in the Millennium Festival, especially when they attend a magic performance by the Great Butler. Even more interesting is the mysterious cocoon in Butler’s possession—from which Max hears a mysterious voice calling! When Jirachi emerges from its slumber, Max has a new friend—sadly, it’s only for the brief few days that the Millennium Comet appears in the sky.","[('The Millennium Comet', 'ORG'), ('Ash', 'CHARACTER'), ('the Millennium Festival', 'EVENT'), ('the Great Butler', 'ORG'), ('Butler', 'ORG'), ('Jirachi', 'POKEMON'), ('Max', 'PERSON'), ('the brief few days', 'DATE'), ('the Millennium Comet', 'ORG')]"
362536,"High-tech Larousse City is a pretty impressive place to visit—and a pretty impressive place for a Pokémon battle, too! Ash heads straight for their renowned Battle Tower, but things don't turn out too well when his battle partner turns out to be a scared boy named Tory. Because of a frightening childhood incident, Tory is scared of all Pokémon—even cute ones like Pikachu!

There's a lot more to be frightened by when Deoxys shows up and takes control of the city, shutting down the machines and taking everyone captive. One Pokémon that is not amused is the Legendary Rayquaza, and it will do whatever it takes to remove this invader from its territory! Meanwhile, Ash, Tory, and all their friends may be caught in the middle, but they're certainly not out of the fight!",[]
315865,"In the legendary past, before the creation of Poké Balls, an Aura-guiding Pokémon called Lucario senses two rival armies about to clash near Cameran Palace in the Pokémon universe#Kanto region. He telepathically informs his master, Sir Aaron, through a nearby crystal just before being attacked by three Houndoom. During the battle, Lucario is temporarily Blindness, but is still able to use his Aura Sphere to defeat the Houndoom - sensing their movements with his Aura abilities. The Queen of Cameran, Lady Rin, decides it is right to die with her people, so Aaron leaves on his Pidgeot to meet up with Lucario, but is attacked by a rival group of Skarmory on the way. Aaron tells Lucario that he is leaving and will not be coming back, and when Lucario tries to follow him, he is automatically sealed in Aaron's staff. The Tree of Beginning then shines a bright light covering the land; stopping the war, and the queen realizes that Aaron must have sacrificed himself by using his own Aura to transform the armies' hatred into mutual understanding. Since then, he was hailed as a hero, and only his staff remained for his legacy.","[('Poké Balls', 'ORG'), ('two', 'CARDINAL'), ('Cameran Palace', 'FAC'), ('Pokémon', 'ORG'), ('three', 'CARDINAL'), ('Blindness', 'ABILITY'), ('Aura Sphere', 'ORG'), ('Houndoom', 'POKEMON'), ('Pidgeot', 'POKEMON'), ('Skarmory', 'POKEMON'), ('Lucario', 'POKEMON'), ('The Tree of Beginning', 'WORK_OF_ART'), ('Aaron', 'PERSON'), ('Aura', 'GPE')]"
394459,"Charmander's voice calls out from the darkness if Squirtle is okay. The sleeping boy wakes up, and can't believe himself when he sees a talking Charmander. Charmander then points out that he's a Pokémon too. The boy takes a look at his reflection at a river besides him, and sees that it is true! He has turned into a Squirtle, and has no recollection at all how this had happened.","[('Charmander', 'POKEMON'), ('Pokémon', 'PERSON'), ('Squirtle', 'POKEMON')]"
